"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"432","Sosmed",2021,118,"Romance",8.4,"Bryan Domani",9,"17+","Harris Illano Vriza","Aurora Ribero","Naufal Samudra Weichert"
"433","Inem Pelayan Seksi New",2019,118,"Comedy",4,"Hasto Broto",42,"13+","Bedu","Jelita Callebaut","Zoe Abbas Jackson"
"434","Pulau Hantu 2",2008,118,"Horror",4,"Jose Poernomo",42,"13+","Ricky Harun","Abdurrahman Arif","Reza Rahadian"
"435","Ambu",2019,118,"Drama",9,"Farid Dermawan",49,"13+","Widyawati","Laudya Cynthia Bella","Lutesha"
"436","Ibu",2021,88,"Drama",5.6,"Jeihan Angga",242,"R13+","Christine Hakim","Ayushita","Ge Pamungkas"
"437","Pembalasan Rambu",1985,88,"Action",5.6,"Jopi Burnama",242,"13+","Peter O'Brian","Craig Gavin","Lia Warokka"
"438","Laut Bercermin",2011,100,"Drama",7,"Kamila Andini",91,"13+","Atiqah Hasiholan","Reza Rahadian","Gita Novalista"
"439","Test Pack",2012,105,"Comedy",7.1,"Monty Tiwa",162,"13+","Reza Rahadian","Acha Septriasa","Renata Kusmanto"
"440","Skandal",2011,83,"Drama",5.8,"Jose Poernomo",32,"13+","Uli Auliani","Mike Lucock","Mario Lawalatta"
"441","Barang Terlarang",1987,87,"Crime",4.1,"Maman Firmansyah",55,"13+","Eva Arnaz","Clift Sangra","Nena Rosier"
"442","Kakek Cangkul",2012,76,"Comedy",5.2,"Nuri Dahlia",35,"13+","Zacky Zimah","Derry Drajat","Febriyanie Ferdzilla"
"443","Punk in Love",2009,92,"Adventure",6.7,"Ody C. Harahap",187,"13+","Vino G. Bastian","Andhika Pratama","Yogi Finanda"
"444","Koboy Kampus",2019,92,"Comedy",6.2,"Pidi Baiq",26,"13+","Tubagus Deddy","Jason Ranti","Ricky Harun"
