"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"694","Perawan di Sarang Sindikat",1987,93,"Action",5.2,"Ackyl Anwari",285,"13+","Enny Beatrice","Yenny Farida","Harry Capri"
"695","DOA (Doyok-Otoy-Ali Oncom): Cari Jodoh",2018,83,"Comedy",6.1,"Anggy Umbara",72,"13+","Fedi Nuril","Pandji Pragiwaksono","Dwi Sasono"
"696","Ular Tangga",2017,93,"Horror",5.5,"Arie Azis",58,"SU","Shareefa Daanish","Vicky Monica","Alessia Cestaro"
"697","Kuntilanak 2",2007,102,"Horror",5.7,"Rizal Mantovani",176,"SU","Sutan Amanullah","Bella Esperance","Julie Estelle"
"698","Cinta Tanpa Tapi",2021,76,"Drama",7.2,"Bobby Herlambang",86,"SU","Rangga Azof","Dinda Surbakti","Nina Tamam"
"699","Chrisye",2017,110,"Biography",7.2,"Rizal Mantovani",86,"13+","Vino G. Bastian","Velove Vexia","Verdi Solaiman"
"700","Terima Kasih Emak Terima Kasih Abah",2021,122,"Drama",8.8,"Dedi Setiadi",5,"13+","Adi Kurdi","Novia Kolopaking","Ceria Hade"
"701","Bad Wolves",2005,122,"Action",7.8,"Richard Buntario",21,"13+","Indra Bekti","Sultan Djorghi","Ivan Gunawan"
"702","Salah Masuk",1992,88,"Comedy",6.9,"Arizal",32,"13+","Fortunella","Tarida Gloria","Anton Indracaya"
"703","Monster School: Minecraft Animation",2018,91,"Animation",7.6,"Eben Ezer Purba",57,"13+","Shan Jairo T. Hoyle","Kiara Alexa T. Tadic","Johan M. Craft"
"704","Cabe-Cabean",2015,91,"Drama",7.6,"Endri Pelita",57,"13+","Ratu Intan","Yuki Kato","Ciccio Manassero"
"706","Ajari Aku Islam",2019,93,"Drama",7.6,"Deni Pusung",57,"13+","Roger Danuarta","Cut Meyriska","Shinta Naomi"
"708","Beranak dalam Kubur",1972,108,"Horror",5.8,"Awaludin",39,"13+","Ali Shahab","Sofia Amang","Robby Hart"
"710","Cinta Suci Zahrana",2012,108,"Drama",6.7,"Chaerul Umam",27,"13+","Firman Syah","Meyda Sefira","Kholidi Asadil Alam"
"712","Kirun + Adul",2009,102,"Comedy",6.4,"Jose Poernomo",29,"13+","Ricky Harun","Abdurrahman Arif","Permata Sari Harahap"
"713","Mantan Manten",2019,102,"Drama",7.1,"Farishad I. Latjuba",156,"13+","Atiqah Hasiholan","Arifin Putra","Tutie Kirana"
"714","Mendadak Kaya",2019,92,"Comedy",5.9,"Anggy Umbara",43,"13+","Fedi Nuril","Dwi Sasono","Pandji Pragiwaksono"
"715","BrokenHearts",2012,96,"Drama",7,"Helfi C.H. Kardit",76,"13+","Julie Estelle","Reza Rahadian","Darius Sinathrya"
"716","Ketika Cinta Bertasbih",2009,120,"Drama",6.1,"Chaerul Umam",191,"13+","Kholidi Asadil Alam","Oki Setiana Dewi","Alice Norin"
"717","Sang Kiai",2013,136,"Action",6.7,"Rako Prijanto",140,"13+","Ikranagara","Christine Hakim","Agus Kuncoro"
"718","Kukejar Cinta ke Negeri Cina",2014,94,"Comedy",6,"Fajar Bustomi",39,"13+","Adipati Dolken","Eriska Rein","Nina Zatulini"
"719","Pembalasan Si Pitung",1977,95,"Drama",7.2,"Nawi Ismail",8,"R","A.N. Alcaff","Hamid Arief","Muni Cader"
"720","Tentang Rindu",2021,75,"Drama",7.9,"Dyan Sunu Prastowo",10,"R","Aurora Ribero","Omar Daniel",""
"721","Mekah I'm Coming",2019,93,"Comedy",7.6,"Jeihan Angga",82,"13+","Rizky Nazar","Michelle Ziudith","Jennifer Coppen"
"723","Srigala",1981,87,"Horror",4.6,"Sisworo Gautama Putra",43,"17+","Lydia Kandou","Rudy Salam","Barry Prima"
"724","Antologi Rasa",2019,108,"Drama",6.4,"Rizal Mantovani",172,"17+","Herjunot Ali","Carissa Perusset","Refal Hady"
"725","Bangkit!",2016,122,"Action",6.8,"Rako Prijanto",21,"13+","Putri Ayudya","Vino G. Bastian","Donny Damara"
"726","MeloDylan",2019,92,"Drama",6.4,"Fajar Nugros",63,"13+","Yogie Supra","Devano Danendra","Aisyah Aqilah"
"727","Laskar Pelangi Sekuel 2: Edensor",2013,90,"Drama",5.9,"Benni Setiawan",111,"SU","Lukman Sardi","Abimana Aryasatya","Astrid Roos"
"728","Badoet",2015,87,"Horror",5.1,"Awi Suryadi",157,"SU","Daniel Topan","Christoffer Nelwan","Aurélie Moeremans"
"730","Tanda Tanya",2011,100,"Drama",7,"Hanung Bramantyo",250,"SU","Reza Rahadian","Revalina S. Temat","Agus Kuncoro"
"731","Everyday Is a Lullaby",2020,81,"Drama",3.6,"Putrama Tuta",70,"SU","Anjasmara","Raihaanun Soeriaatmadja","Fahrani"
"732","Laura si Tarzan",1989,80,"Adventure",3.6,"Willy Wilianto",70,"SU","Ully Artha","Baron Hermanto","Emmy Husein"
"733","Tali Pocong Perawan",2008,105,"Horror",3.6,"Arie Azis",70,"SU","Dewi Perssik","Ramon Y. Tungka","Ibnu Jamil"
"734","Air Mata Terakhir Bunda",2013,100,"Drama",8.4,"Endri Pelita",11,"SU","Vino G. Bastian","Rizky Hanggono","Tabah Penemuan"
"735","Alangkah Lucunya (Negeri Ini)",2010,104,"Comedy",7.3,"Deddy Mizwar",254,"SU","Reza Rahadian","Tika Bravani","Asrul Dahlan"
"737","Jomblo",2006,84,"Comedy",7.1,"Hanung Bramantyo",339,"SU","Dennis Adhiswara","Rianti Cartwright","Rizky Hanggono"
"738","Tarung: City of the Darkness",2011,84,"Action",6.2,"Nayato Fio Nuala",76,"SU","Guntur Triyoga","Volland humonggio","Krisna Patra"
"739","Arisan Brondong",2010,79,"Comedy",4.4,"Helfi C.H. Kardit",28,"SU","Hardi Fadhillah","Randi Fadillah","Farish Nahdi"
"740","Marriage",2021,79,"Drama",8.3,"Danial Rifki",10,"SU","Ge Pamungkas","Anastasia Herzigova","Ira Wibowo"
"743","Bangkitnya Mayit: The Dark Soul",2019,86,"Horror",7.3,"Cindya Ayu",11,"D17+","Dicky Chandra","Jennifer Rachel Natasya","T. Rifnu Wikana"
"745","Vidkill",2021,105,"Drama",7.5,"Dyan Sunu Prastowo",83,"D17+","Pradikta Wicaksono","Shindy Huang","Estelle Linden"
"746","Rumah Gurita",2014,105,"Drama",7.5,"Jose Poernomo",83,"13+","Shandy Aulia","Boy William","Kemal Palevi"
"747","Rentang Kisah",2020,98,"Biography",7.4,"Danial Rifki",102,"13+","Beby Tsabina","Juan Bione Subiantoro","Donny Damara"
"748","Bike Boyz",2019,95,"Comedy",7.5,"Aris Nugraha",16,"13+","Aep Bancet","Aline Manza","Gariz Luiz"
"749","Kutukan Arwah Santet",2012,81,"Horror",6.3,"Hanny Mustofa",16,"17+","Julia Perez","Dwi A.P.","Ajeng"
"750","5 Cowok Jagoan",2017,106,"Action",6.6,"Anggy Umbara",30,"17+","Ario Bayu","Dwi Sasono","Cornelio Sunny"
"753","Ranjang yang Ternoda",1994,90,"Drama",5.7,"Norman Benny",17,"D17+","Inneke Koesherawati","Gitty Srinita","Dicky Wahyudi"
"754","Rio sang juara",1989,90,"Action",7.5,"Muchlis Raya",6,"D17+","Zainal Abidin","Ayu Azhari","Billy Chong"
"755","Hompimpa",2021,87,"Horror",7.5,"Arie Azis",6,"D17+","Zoe Abbas Jackson","Kenny Austin","Sebryan Yosvien"
"756","The Stabilizer",1986,87,"Action",6.3,"Arizal",313,"R","Peter O'Brian","Craig Gavin","Gillie Beanz"
"757","Pirate Brothers",2011,103,"Action",6.1,"Asun Mawardi",120,"R","Robin Shou","Verdy Bhawanta","Yayu A.W. Unru"
"758","99 Cahaya di Langit Eropa Part 2",2014,102,"Adventure",6.3,"Guntur Soeharjanto",45,"13+","Acha Septriasa","Abimana Aryasatya","Nino Fernandez"
"759","3 Hati, Dua Dunia, Satu Cinta",2010,100,"Comedy",7,"Benni Setiawan",164,"13+","Reza Rahadian","Laura Basuki","Arumy Bachsin"
"760","Zharfa",2019,96,"Drama",7.6,"Ruli Wanisar",18,"13+","Kaka Azraff","Donny Alamsyah","Betari Ayu"
"761","Mars Met Venus (Part Cewe)",2017,98,"Comedy",7.6,"Hadrah Daeng Ratu",18,"SU","Ge Pamungkas","Pamela Bowie","Ria Yunita"
"762","99 Nama Cinta",2019,106,"Drama",7.8,"Danial Rifki",45,"SU","Acha Septriasa","Deva Mahenra","Ira Wibowo"
"763","Catatan (Harian) Si Boy",2011,96,"Action",6.8,"Putrama Tuta",136,"SU","Ario Bayu","Onky Alexander","Abimana Aryasatya"
"764","The Secret: Suster Ngesot Urban Legend",2018,82,"Horror",3.4,"Raffi Ahmad",61,"SU","Arie Azis","Nagita Slavina","Marshanda"
"765","The Secret 2: Mystery of Villa 666",2021,71,"Horror",2.8,"Bambang Drias",9,"SU","Aliyah Faizah","Egy Fedly","Al Ghazali"
"767","Skandal Iblis",1992,86,"Horror",6.6,"H. Tjut Djalil",15,"SU","Lela Anggraini","Eddy Gunawan","Ranieta Manopo"
"768","Sepeda Presiden",2021,87,"Comedy",8,"Garin Nugroho",6,"SU","Hestu Saputra","Ariel Tatum","Sita Nursanti"
"769","Si Pitung Beraksi Kembali",1976,100,"Action",7.1,"Nawi Ismail",17,"13+","Hamid Arief","Doris Callebaute","Rina Hasyim"
"770","Surat dari Kematian",2020,86,"Horror",5.7,"Hestu Saputra",13,"13+","Carissa Perusset","Endy Arfian","Jerome Kurnia"
"771","Koala Kumal",2016,92,"Comedy",6.6,"Raditya Dika",528,"13+","Raditya Dika","Acha Septriasa","Sheryl Sheinafia"
"773","Rumput Tetangga",2019,104,"Comedy",7.4,"Guntur Soeharjanto",68,"13+","Titi Kamal","Donita","Gading Marten"
"774","Mau Jadi Apa?",2017,103,"Comedy",7,"Soleh Solihun",29,"R13+","Monty Tiwa","Soleh Solihun","Anggika Bolsterli"
"776","Pesugihan: Bersekutu dengan Iblis",2020,95,"Horror",7.5,"Hanny Saputra",238,"D","Nirina Zubir","Randy Martin","Gary M. Iskak"
"777","Siti",2014,95,"Drama",7.5,"Eddie Cahyono",238,"D","Sekar Sari","Bintang Timur Widodo","Titi Dibyo"
"780","Unknown",2021,96,"Thriller",8.1,"Nasya Marcella",7,"17+","Maxime Bouttier","Gary M. Iskak",""
"781","Hongkong Kasarung",2018,96,"Adventure",8.1,"Eric Satyo",7,"17+","Entis Sutisna","Pamela Bowie","Rizky Febian"
"782","Berbagi Suami",2006,120,"Comedy",7.6,"Nia Di Nata",406,"17+","Jajang C. Noer","Shanty","Dominique Agisca Diyose"
"784","Pocong Keliling",2010,75,"Comedy",4.3,"Viva Westi",44,"17+","Indra Birowo","Adipati Dolken","Donita"
"785","Leak (Penangkeb)",2019,75,"Horror",7.1,"Mimi Jegon",7,"17+","Sandra","Yunda","Edy"
"786","#66",2015,116,"Action",6,"Asun Mawardi",27,"17+","Ari Riski Ananda","Erwin Bagindo","Fandy Christian"
"787","Si Doel Anak Betawi",1972,90,"Drama",7.6,"Sjuman Djaya",28,"17+","Sjuman Djaya","Dewi Rosaria Indah","Rano Karno"
"788","The Tarix Jabrix 3",2011,92,"Comedy",7.8,"Iqbal Rais",55,"17+","Tria Changcut","Erick Changcut","Dipa Changcut"
"789","BFF Best Friends Forever",2017,90,"Comedy",6.4,"Estelle Linden",8,"17+","Yova Gracia","Kezia Karamoy","Ineke Valentina"
"790","Balada Sepasang Kekasih Gila",2021,90,"Crime",6.4,"Anggy Umbara",8,"D17+","Denny Sumargo","Sara Fajira","Vera Sharoon"
"791","Sunan Kalijaga",1984,90,"Action",6.3,"Sofyan Sharna",22,"17+","Deddy Mizwar","W.D. Mochtar","Zainal Abidin"
"792","Roh Fasik",2019,90,"Horror",6,"Ubay Fox",28,"17+","Evan Sanders","Irwansyah","Denira Wiraguna"
"794","Generasi Micin",2018,88,"Comedy",6.4,"Fajar Nugros",97,"13+","Kevin Anggara","Clairine Clay","Morgan Oey"
"796","Once Upon a Time in Indonesia",2020,159,"Action",2.2,"Asun Mawardi",21,"17+","Franki Darmawan","Djaitov Tigor","Ryana Dea"
"797","Perburuan",2019,98,"Drama",3.9,"Richard Oh",59,"13+","Adipati Dolken","Ayushita","Ernest Samudera"
"798","40 Hari Bangkitnya Pocong",2008,90,"Horror",4.7,"Rudy Soedjarwo",51,"13+","Raffi Ahmad","Irwansyah","Sabai Morscheck"
"799","The Perfect Husband",2018,108,"Drama",7.3,"Rudi Aryanto",91,"13+","Dimas Anggara","Amanda Rawles","Maxime Bouttier"
"801","Asmara Dua Diana",2009,84,"Comedy",5.5,"Awi Suryadi",27,"13+","Jamie Aditya","Luna Maya","Aura Kasih"
"802","Beth",2002,84,"Drama",5.9,"Aria Kusumadewa",21,"13+","Sha Ine Febriyanti","Lola Amaria","Nurul Arifin"
"804","Persahabatan Bagai Kepompong",2021,94,"Comedy",6.5,"Sentot Sahid",20,"13+","Juan Bione Subiantoro","Yasmin Napper","Beby Tsabina"
"805","Semesta Mendukung",2011,101,"Drama",7,"John de Rantau",22,"13+","Sheina Abdat","Rendy Ahmad","Sayef Muhammad Billah"
"806","Misteri ronggeng",1991,89,"Comedy",6.8,"Lukmantoro D.S.",31,"13+","George Rudy","Inneke Koesherawati","Yenny Farida"
"807","3 Dara 2",2018,89,"Comedy",6.8,"Monty Tiwa",31,"13+","Tora Sudiro","Adipati Dolken","Tanta Ginting"
"808","Hari yang Dijanjikan",2021,68,"Drama",8,"Fajar Bustomi",11,"13+","Vino G. Bastian","Agla Artalidia","Graciella Abigail"
"809","La tahzan",2013,100,"Drama",6.2,"Danial Rifki",89,"13+","Atiqah Hasiholan","Joe Taslim","Ario Bayu"
"810","Pachinko",2000,87,"Drama",7.4,"Harry Suharyadi",14,"R13+","Kazuko Hayami","Emiko Minami","Ikumi Sugiura"
"812","Trinity, The Nekad Traveler",2017,103,"Adventure",7.2,"Rizal Mantovani",90,"13+","Maudy Ayunda","Hamish Daud","Anggika Bolsterli"
"813","Saya Suka Kamu Punya",1987,88,"Comedy",7,"Tommy Burnama",6,"13+","Devi Alwan Halim","Doyok","Gino Makasutji"
"814","Cobra",1977,89,"Action",7.6,"Rempo Urip",57,"13+","Steven Lee","Yetty Loren","Rd. Mochtar"
"815","Toba Dreams",2015,118,"Drama",7.6,"Benni Setiawan",57,"13+","Vino G. Bastian","Boris Bokir","Vinessa Inez"
"817","Tendangan dari Langit",2011,118,"Drama",7.2,"Hanung Bramantyo",70,"13+","Yosie Kristanto","Maudy Ayunda","Giorgino Abraham"
"818","3 Doa 3 Cinta",2008,114,"Drama",6.8,"Nurman Hakim",89,"13+","Brohisman","Butet Kertaradjasa","Yoga Pratama"
"819","The Sexy City",2010,83,"Drama",4.5,"Helfi C.H. Kardit",55,"13+","Fauzi Baadila","Baim","Edward Fernandez"
"820","Batas Impian Ranjang Setan",1986,83,"Horror",4.5,"H. Tjut Djalil",55,"13+","Didier A. Hamel","Chintami Atmanegara","Linda Lolita Hoesin"
"821","The Teacher",2021,80,"Action",7,"Sarjono Sutrisno",81,"13+","Sani Adhitama","Aek Bewava","Kevin Bzezovski"
"822","Laundry Show",2019,97,"Comedy",7,"Rizki Balki",81,"13+","Boy William","Gisella Anastasia","Tissa Biani Azzahra"
"823","Epen Cupen the Movie",2015,91,"Comedy",5.3,"Irham Acho Bahtiar",45,"SU","Klemen Awi Celo","Babe Cabita","Marissa Nasution"
"824","12 Menit",2014,110,"Drama",8.8,"Hanny Saputra",75,"SU","Verdi Solaiman","Titi Rajo Bintang","Egy Fedly"
"826","Gadis Metropolis",1991,85,"Drama",7.8,"Bobby Sandy",12,"SU","Sally Marcellina","Inneke Koesherawati","Febby Lawrence"
"827","D'Love",2010,85,"Drama",6.6,"Helfi C.H. Kardit",227,"SU","Rizky Adrianto","Achmad Albar","Aurélie Moeremans"
"828","3 Srikandi",2016,121,"Biography",6.6,"Iman Brotoseno",227,"SU","Bunga Citra Lestari","Chelsea Islan","Tara Basro"
"829","The Professionals",2016,95,"Action",6.6,"Affandi Abdul Rachman",46,"17+","Arifin Putra","Cornelio Sunny","Lukman Sardi"
"830","Akibat Pergaulan Bebas 2",2011,85,"Drama",4,"Findo Purwono",25,"17+","Lia Aulia","Tasya Djerly Emor","Keith Foo"
"831","Bangkitnya Si Mata Malaikat",1988,85,"Action",6.8,"Iksan Lahardi",138,"17+","Advent Bangun","Rani Soraya","Dadeng Herang"
"832","Pertarungan Iblis Merah",1988,85,"Action",6.8,"Denny H.W.",138,"17+","Aznah Hamid","Barry Prima","Baharuddin Haji Omar"
"833","Kuldesak",1999,110,"Action",6.8,"Nan Triveni Achnas",138,"17+","Mira Lesmana","Rizal Mantovani","Riri Riza"
"834","Bajaj Bajuri the Movie",2014,93,"Action",6.1,"Fajar Nugros",17,"17+","Ricky Harun","Eriska Rein","Meriam Bellina"
"835","Denting Kematian",2020,86,"Horror",3.8,"Rudy Soedjarwo",41,"17+","Brisia Jodie","Rangga Azof","Ayu Dyah Pasha"
"836","Eyang Putri",2021,88,"Horror",6.1,"Bobby Prasetyo",36,"D17+","Marini","Sheila Dara Aisha","Miller Khan"
"838","Karate Sabuk Hitam",1979,91,"Action",6.1,"Wisjnu Mouradhy",36,"13+","Chin-Kun Li","Siu-Lung Leung","Lieh Lo"
"839","Badai Pasti Berlalu",2007,90,"Drama",6.6,"Teddy Soeriaatmadja",38,"13+","Vino G. Bastian","Raihaanun Soeriaatmadja","Winky Wiryawan"
"840","Sore: Istri dari Masa Depan",2017,115,"Drama",8.6,"Tika Bravani",29,"13+","Maria Nikolcheva","Samuel Oluoko","Dion Wiyoko"
"841","Menggapai matahari",1986,115,"Drama",6.8,"Nurhadie Irawan",6,"13+","Lina Budiarty","Ikang Fawzi","Anton Indracaya"
"842","I Am Hope",2016,115,"Drama",7.3,"Adilla Dimitri",18,"13+","Tatjana Saphira","Fachry Albar","Ray Sahetapy"
"843","Heart 2 Heart",2010,90,"Drama",8.3,"Nayato Fio Nuala",81,"13+","Aliff Alli","Arumy Bachsin","Irish Bella"
"844","Danur 3: Sunyaruri",2019,90,"Horror",5.2,"Awi Suryadi",216,"13+","Prilly Latuconsina","Rizky Nazar","Syifa Hadju"
"845","3 Dara",2015,86,"Comedy",6.3,"Ardy Octaviand",15,"13+","Tora Sudiro","Adipati Dolken","Tanta Ginting"
"846","Parts of the Heart",2012,90,"Drama",5.6,"Paul Agusta",35,"13+","Joko Anwar","Endy Arfian","Bobby Asmoro"
"847","Nona",2020,99,"Adventure",6.6,"Anggi Frisca",22,"13+","Nadya Arina","Augie Fantinus","Tio Pakusadewo"
"848","Pancasona",1989,75,"Fantasy",5.7,"M. Abnar Romli",98,"D","Barry Prima","Ziela Jalil","Yoshep Hungan"
"849","Insya Allah Sah",2017,83,"Comedy",5.7,"Benni Setiawan",98,"D","Pandji Pragiwaksono","Titi Kamal","Richard Kyle"
"850","Kembalinya Nenek Gayung",2013,100,"Comedy",4.7,"Shakuntala",17,"D","Kevin Julio","Yadi Sembako","Joe Richard"
"851","Dilema",2011,100,"Crime",7.3,"Adilla Dimitri",67,"D","Robby Ertanto","Rinaldy Puspoyo","Robert Ronny"
"852","Agen Dunia",2021,100,"Comedy",6.1,"Herwin Novianto",24,"13+","Baim Wong","Onadio Leonardo","Clara Bernadeth"
"853","9 Naga",2006,104,"Crime",6.6,"Rudy Soedjarwo",126,"17+","Donny Alamsyah","Fauzi Baadila","Dorman Borisman"
"854","Temen Kondangan",2020,86,"Comedy",5.5,"Iip Sariful Hanan",43,"SU","Prisia Nasution","Gading Marten","Kevin Julio"
"855","Runaway",2014,90,"Action",6.9,"Guntur Soeharjanto",29,"SU","Tatjana Saphira","Al Ghazali","Edward Akbar"
"856","Jurus Dewa Naga",1989,81,"Action",6,"S.A. Karim",48,"SU","Barry Prima","Ziela Jalil","Chitra Dewi"
"857","Telegram",2000,82,"Drama",6,"Slamet Rahardjo",48,"SU","Sujiwo Tejo","Mira Ayudhia","Ayu Azhari"
"858","Tusuk Jelangkung",2003,103,"Horror",6,"Dimas Djayadiningrat",152,"SU","Ian Bahtiar","Thomas Nawilis","Dinna Olivia"
"860","Pai kau",2018,110,"Drama",7,"Sidi Saleh",22,"SU","Chiu Yen Irina Tan","Anthony Xie","Verdi Solaiman"
"861","Si Juki",2017,110,"Animation",6,"Faza Meonk",111,"SU","Muhammad Marzuki","Bunga Citra Lestari","Faza Meonk"
"862","Winter in Tokyo",2016,103,"Romance",7.1,"Fajar Bustomi",30,"13+","Dion Wiyoko","Pamela Bowie","Morgan Oey"
"863","Kafir",2002,90,"Horror",4,"Mardaly Sjarif",45,"13+","Sujiwo Tejo","Meriam Bellina","Aldo Banar"
"864","Pijat Atas Tekan Bawah",2009,90,"Comedy",2.4,"K.K. Dheeraj",18,"13+","Wendy Armoko","Denny Cagur","Tata Dado"
"865","Bulan Terbelah di Langit Amerika 2",2016,100,"Adventure",4.6,"Rizal Mantovani",167,"13+","Acha Septriasa","Abimana Aryasatya","Nino Fernandez"
"866","Dia Bukan Manusia",2020,90,"Action",5.3,"Dylan Carr",53,"13+","Rana Audi Marissa","Ersya Aurelia","Anthony Xie"
"867","Toilet 105",2010,90,"Horror",5.3,"Hartawan Triguna",53,"13+","Coralie Gerald","Ricky Harun","Aming Sugandhi"
"868","Lupus",1987,90,"Biography",8.2,"Achiel Nasrun",12,"13+","Nurul Arifin","Septian Dwi Cahyo","Gito Gilas"
"869","Hijrah Cinta",2014,105,"Biography",8.4,"Alfie Alfandi",74,"13+","Revalina S. Temat","Piet Pagau","Valentino"
"870","Martabak Bangka",2019,105,"Drama",6.4,"Eman Pradipta",5,"13+","Aung","Ramon Y. Tungka","Ario Astungkoro"
"871","Legenda Sundel Bolong",2007,91,"Horror",5.2,"Hanung Bramantyo",30,"D","Uli Auliani","Baim","Jian Batari"
"872","Daun di Atas Bantal",1998,83,"Crime",7.5,"Garin Nugroho",246,"D","Sarah Azhari","Deni Christantra","Christine Hakim"
"873","Midnight Show",2016,100,"Action",6.5,"Ginanti Rona Tembang Sari",60,"D","Gandhi Fernando","Acha Septriasa","Ganindra Bimo"
"874","Jomblo",2017,110,"Comedy",6.6,"Hanung Bramantyo",90,"17+","Ge Pamungkas","Richard Kyle","Deva Mahenra"
"877","Hujan Bulan Juni",2017,96,"Drama",7.5,"Hestu Saputra",90,"13+","Adipati Dolken","Velove Vexia","Baim Wong"
"878","Cinta dan noda",1991,79,"Drama",4.2,"Slamet Riyadi",8,"SU","Tisna S. Brata","Cut Keke","Ira Mambo"
"879","Pernikahan Berdarah",1987,90,"Action",4.7,"Torro Margens",14,"SU","Raja Ema","Billy Chong","Zainal Abidin"
"880","6,9 Detik",2019,78,"Biography",6.5,"Lola Amaria",11,"SU","Tika Pramesti","Aries Susanti Rahayu","Ariyo Wahab"
"881","Nyai: A Woman from Java",2016,90,"Drama",7.3,"Garin Nugroho",19,"13+","Annisa Hertami","Rudy Corenz","Cahwati Sugiarto"
"882","Sokola Rimba",2013,90,"Biography",7.4,"Riri Riza",89,"13+","Prisia Nasution","Nyungsang Bungo","Rukman Rosadi"
"883","Intan Berduri",1972,104,"Drama",8.6,"Turino Junaidy",19,"13+","Benyamin S.","Rima Melati","Farouk Afero"
"884","Catatan Dodol Calon Dokter",2016,103,"Comedy",6.5,"Ifa Isfansyah",71,"13+","Amec Aris","Tika Bravani","Adipati Dolken"
"885","Naga Bonar",1987,95,"Comedy",7,"M.T. Risyaf",218,"13+","Deddy Mizwar","Nurul Arifin","Wawan Wanisar"
"886","Napsu gila",1973,95,"Drama",4.7,"Ali Shahab",8,"13+","Suzzanna","Dicky Suprapto","Tan Tjeng Bok"
"887","Nightmare Side: Delusional",2019,100,"Horror",6.4,"Joel Fadly",8,"13+","Gege Elisa","Fay Nabila Rizka","Melissa Karim"
"888","Pusaka Penyebar Maut",1990,75,"Fantasy",6.6,"Sisworo Gautama Putra",20,"17+","Alex Bernard","Billy Chong","Murti Sari Dewi"
"890","The Perfect House",2011,96,"Thriller",6.6,"Affandi Abdul Rachman",20,"17+","Endy Arfian","Bella Esperance","Mike Lucock"
"891","Misteri Rumah Tua",1987,77,"Adventure",5.6,"Liliek Sudjio",10,"17+","Noor Kumalasari","Rani Soraya","W.D. Mochtar"
"892","Nada-Nada Rindu",1987,122,"Drama",5.6,"Muchlis Raya",10,"17+","Susy Bolle","S. Bono","Dana Christina"
"893","Bisa Naik Bisa Turun",1991,82,"Comedy",7.5,"Arizal",45,"17+","Dono Warkop","Kasino Warkop","Indro Warkop"
"894","Perempuan Berkalung Sorban",2009,131,"Drama",6.7,"Hanung Bramantyo",138,"17+","Revalina S. Temat","Joshua Pandelaki","Widyawati"
"895","Melbourne Rewind",2016,96,"Drama",6.2,"Danial Rifki",14,"13+","Morgan Oey","Pamela Bowie","Walter Moeremans"
"896","Puspa Indah Taman Hati",1979,80,"Action",7.6,"Arizal",13,"13+","Yessy Gusman","Marlia Hardi","Pong Harjatmo"
"897","Aji Pamungkas",1990,80,"Action",4.4,"Slamet Riyadi",21,"13+","Ayu Lestari","Benny G. Raharja","Kiki Fatmala"
"898","Jeritan Kuntilanak",2009,90,"Horror",4.4,"Nayato Fio Nuala",21,"13+","Joanna Alexandra","Furry Citra","H.I.M. Damsyik"
"899","Make Money",2013,99,"Comedy",5.8,"Sean Monteiro",6,"13+","Ucok Baba","Ence Bagus","Tara Basro"
"901.","Anak Garuda",2020,129,"Adventure",8.6,"Faozan Rizal",50,"13+","Verdi Solaiman","Tissa Biani Azzahra","Violla Georgie"
"902.","Laut Memanggilku (The Sea Calls for Me)",2021,80,"Short",5.7,"Tumpal Tampubolon",32,"17+","Dikky Takiyudin","Muhammad Umar",""
"903.","4 Mantan",2020,80,"Thriller",5.7,"Hanny Saputra",32,"17+","Ranty Maria","Jeff Smith","Melanie Berentz"
"904.","Hantu Puncak Datang Bulan",2010,100,"Comedy",4.2,"Steady Rimba",36,"21+","Dian Aditya","Lia Ladysta","Tesa Mariska"
"905.","Tampan Tailor",2013,100,"Drama",7.1,"Guntur Soeharjanto",130,"21+","Vino G. Bastian","Marsha Timothy","Ringgo Agus Rahman"
"906.","Mata Dewa",2018,80,"Drama",6.8,"Andibachtiar Yusuf",13,"21+","Kenny Austin","Brandon Salim","Agatha Chelsea"
"907.","Bangku Kosong",2006,90,"Horror",5.9,"Helfi C.H. Kardit",64,"21+","Adhitya Putri","Cathy Sharon","Bella Esperance"
"908.","Beranak dalam Kubur",2007,90,"Horror",3.2,"Freddy Lingga",33,"21+","Dinda Kanyadewi","Revand T. Narya","Julia Perez"
"909.","Joshua Oh Joshua",2001,90,"Comedy",6.5,"Edward Sirait",150,"21+","Joshua Suherman","Anjasmara","Jodi"
"910.","Melodi Cinta Rhoma Irama",1980,127,"Drama",7.7,"Muchlis Raya",10,"21+","Rhoma Irama","Ricca Rahim","Eddy Wardy"
"911.","Misteri Pasar Kaget",2012,79,"Drama",5,"Wimbadi J.P.",8,"21+","Kiki Nuriswan","Erly Ashy","Permata Sari Harahap"
"912.","Sanubari Jakarta",2012,100,"Drama",6.2,"Lola Amaria",18,"21+","Billy Christian","Adriyanto Dewo","Sim F."
"913.","Satu Hari Nanti",2017,122,"Drama",6.4,"Salman Aristo",54,"21+","Deva Mahenra","Adinia Wirasti","Ringgo Agus Rahman"
"914.","Pintar Pintar Bodoh",1980,89,"Comedy",7.6,"Arizal",54,"17+","Cassin Abbas","Bram Adrianto","Eva Arnaz"
"917.","Perahu Kertas 2",2012,100,"Drama",6.8,"Hanung Bramantyo",274,"17+","Maudy Ayunda","Adipati Dolken","Reza Rahadian"
"918.","We Are Moluccans",2014,151,"Biography",8.1,"Angga Dwimas Sasongko",200,"17+","Chicco Jerikho","Abdurrahman Arif","Jajang C. Noer"
